expense_id,expense_name,category_id,amount,frequency,start_date,end_date,vendor,description,payment_method,approval_required,approved_by,approval_date,expense_allocation,amortization_months,department,cost_center,is_active,created_date,updated_date
EXP-001,Manufacturing Facility Rent,CAT-RENT,8500.00,monthly,2024-01-01,2024-12-31,Industrial Properties LLC,Monthly rent for 15000 sq ft manufacturing facility,ACH,0,,,immediate,,Manufacturing,MFGCOST,1,2024-01-01T00:00:00,2024-01-01T00:00:00
EXP-002,Electricity Bill,CAT-UTLITY,3200.00,monthly,2024-01-01,2024-12-31,Metro Electric Co,Monthly electricity for manufacturing operations,ACH,0,,,immediate,,Manufacturing,MFGCOST,1,2024-01-01T00:00:00,2024-01-01T00:00:00
EXP-003,Welding Gas Supply,CAT-WELDSP,1200.00,monthly,2024-01-01,2024-12-31,Industrial Gas Solutions,Monthly argon and CO2 gas supply,Net30,0,,,immediate,,Manufacturing,MFGCOST,1,2024-01-01T00:00:00,2024-01-01T00:00:00
EXP-004,CAD Software License,CAT-SWLIC,4800.00,annually,2024-01-01,2024-12-31,SolidWorks Corp,Annual SolidWorks license for engineering,Credit Card,1,John Doe,2024-01-01,amortized,12,Engineering,ENGCOST,1,2024-01-01T00:00:00,2024-01-01T00:00:00
EXP-005,General Liability Insurance,CAT-INSUR,9600.00,annually,2024-01-01,2024-12-31,Business Insurance Inc,Annual general liability and property insurance,ACH,1,Jane Smith,2024-01-01,amortized,12,Administration,ADMCOST,1,2024-01-01T00:00:00,2024-01-01T00:00:00
EXP-006,Office Supplies,CAT-OFFSUP,350.00,monthly,2024-01-01,2024-12-31,Office Depot,Monthly office supplies and materials,Credit Card,0,,,immediate,,Administration,ADMCOST,1,2024-01-01T00:00:00,2024-01-01T00:00:00
EXP-007,New Welding Equipment,CAT-MAINT,15000.00,one_time,2024-03-15,,Miller Electric,New MIG welding machine purchase,Check,1,John Doe,2024-03-01,amortized,24,Manufacturing,MFGCOST,1,2024-02-15T00:00:00,2024-02-15T00:00:00
EXP-008,Safety Equipment Annual Order,CAT-SAFETY,2400.00,annually,2024-01-01,2024-12-31,Safety First Supply,Annual safety equipment and PPE order,Net30,0,,,immediate,,Manufacturing,MFGCOST,1,2024-01-01T00:00:00,2024-01-01T00:00:00
EXP-009,Quarterly Tax Preparation,CAT-LEGAL,1500.00,quarterly,2024-01-01,2024-12-31,CPA Associates,Quarterly tax preparation and filing,Check,1,Jane Smith,2024-01-01,immediate,,Administration,ADMCOST,1,2024-01-01T00:00:00,2024-01-01T00:00:00
EXP-010,Internet & Phone Service,CAT-PHONE,450.00,monthly,2024-01-01,2024-12-31,Telecom Solutions,Monthly internet and phone service,ACH,0,,,immediate,,Administration,ADMCOST,1,2024-01-01T00:00:00,2024-01-01T00:00:00
EXP-011,Machine Maintenance Contract,CAT-MAINT,3600.00,quarterly,2024-01-01,2024-12-31,Industrial Service Corp,Quarterly preventive maintenance for all machines,Net30,0,,,amortized,3,Manufacturing,MFGCOST,1,2024-01-01T00:00:00,2024-01-01T00:00:00
EXP-012,Quality Testing Services,CAT-QATEST,800.00,monthly,2024-01-01,2024-12-31,Test Lab Inc,Monthly material testing and certification,Net30,0,,,immediate,,Quality,QACOST,1,2024-01-01T00:00:00,2024-01-01T00:00:00
EXP-013,Trade Show Booth,CAT-MARKET,8000.00,one_time,2024-06-01,,Expo Services,Annual industry trade show booth rental,Credit Card,1,Jane Smith,2024-05-15,amortized,6,Sales,SLSCOST,1,2024-05-01T00:00:00,2024-05-01T00:00:00
EXP-014,Employee Training Program,CAT-TRAIN,3000.00,one_time,2024-04-01,,Training Solutions Inc,Safety and skills training for manufacturing staff,Check,1,John Doe,2024-03-20,immediate,,Manufacturing,MFGCOST,1,2024-03-15T00:00:00,2024-03-15T00:00:00
EXP-015,Shipping Supplies,CAT-SHIPPING,600.00,monthly,2024-01-01,2024-12-31,Packaging Pro,Monthly shipping boxes and packaging materials,Net30,0,,,immediate,,Shipping,SHPCOST,1,2024-01-01T00:00:00,2024-01-01T00:00:00
